Segment	Phoneme	Notes
ɪ̯ɔ	ɪ̯ɔ	NA
ɪu	ɪu	NA
ɪ̯u̞	ɪ̯u̞	NA
ɨ	ɨ	NA
ɨ̆	ɨ̆	NA
ɨ̞	ɨ̞	NA
ɨ̠	ɨ̠	NA
ɨ̞̰	ɨ̰̞	NA
ɨ̤	ɨ̤	NA
ɨ̹	ɨ̹	NA
ɨː	ɨː	NA
ɨ̞̃ː	ɨ̞̃ː	NA
ɨ̟ː	ɨː	conventionalized; TODO: investigate
ɨ̞ː	ɨ̞ː	NA
ɨ̹ː	ɨ̹ː	NA
ɨa	ɨa	NA
ɨä̠	ɨä̠	NA
ɨə	ɨə	NA
ɨɛ	ɨɛ	NA
ɨi	ɨi	NA
ɨi̯	ɨi̯	NA
ɨj	ɨi̯	conventionalized
j	j	NA
j̊	j̊	NA
j̃	j̃	NA
jː	jː	NA
ja	i̯a	conventionalized
jaː	i̯aː	conventionalized
jæ	i̯æ	conventionalized
jæi	i̯æi	conventionalized
jai	i̯ai	conventionalized
jau	i̯au	conventionalized
jau̯	i̯au̯	conventionalized
je	i̯e	conventionalized
jẽ	i̯ẽ	conventionalized
jei̯	i̯ei̯	conventionalized
jɛ	i̯ɛ	conventionalized
jɛ̃	i̯ɛ̃	conventionalized
jɛi	i̯ɛi	conventionalized
jɛi̯	i̯ɛi̯	conventionalized
jo	i̯o	conventionalized
joː	i̯oː	conventionalized
joi	i̯oi	conventionalized
jɔ	i̯ɔ	conventionalized
ju	i̯u	conventionalized
juː	i̯uː	conventionalized
juaː	i̯uaː	conventionalized
jui	i̯ui	conventionalized
ʝ	ʝ	NA
ʝː	ʝː	NA
ɟ	ɟ	NA
ɟ̟	ɟ̟	NA
ɟʰ	ɟʰ	NA
ɟʱ	ɟʱ	NA
ɟʝ	ɟʝ	NA
ɟʝ̞	ɟʝ̞	NA
ɟ̥ʝ̥	ɟ̥ʝ̥	NA
ʄ	ʄ	NA
k	k	NA
k˞	k˞	NA
kː	kː	NA
kːʰ	kːʰ	NA
kːʷ	kːʷ	NA
kːʷʰ	kːʰʷ	NA
kʰ	kʰ	NA
kʰ˞	k˞ʰ	NA
kʰʲ	kʰʲ	NA
kʰʷ	kʰʷ	NA
kʰʷʲ	kʰʲʷ	new segment type added
kʲ	kʲ	NA
