IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
n̪	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ȵ	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ŋ	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
m	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
l̺	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
r̺	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɹ̺	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
j	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
w	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
i	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
u	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
a	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
e	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
o	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɣ	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
β	0000aghu_alungul	aghu1254	Ogh Alungul		sommer_alungul_nodate	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
t̺	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
t̪	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ȶ	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
k	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
p	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
n̺	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
n̪	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ȵ	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ŋ	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
m	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
l̺	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
r̺	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɹ̺	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
j	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
w	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
i	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
u	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
a	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
e	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
o	0000kokiny	kawa1290	Kokiny		sommer_koko_nodate-2	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
t̺͉	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̺͈	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̪͉	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̪͈	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ð	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȶ͉	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȶ͈	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
k͉	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
k͈	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ɣ	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
p͉	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
p͈	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
β	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
n̺	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
n̪	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȵ	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ŋ	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
m	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
l̺	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
r̺	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ɹ̺	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
j	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
w	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
i	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
u	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
a	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
e	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
o	kawa1290		Ogh Awarrangg	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̺͉	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̺͈	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̪͉	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̪͈	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ð	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȶ͉	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȶ͈	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
k͉	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
k͈	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ɣ	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
p͉	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
p͈	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
β	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
n̺	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
n̪	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ȵ	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ŋ	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
m	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
l̺	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
r̺	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
ɹ̺	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
j	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
w	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
i	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
u	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
a	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
e	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
o	0000ogh_unyjan	kawa1290	Ogh Unyjan	Sommer 1969	sommer_kunjen_1969	Please see also the general comparative notes on Australian inventories.
t̺	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
t̪	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ð	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ȶ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
k	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ɣ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
p	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
β	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ʔ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
n̺	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
n̪	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ȵ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ŋ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
m	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
l̺	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
r̺	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ɹ̺	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
j	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
w	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
i	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
iː	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
u	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
uː	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
a	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
aː	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
e	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
eː	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
o	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ʑ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ĩ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ẽ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
æ̃	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ã	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
æ	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
æː	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
y	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
ø	angu1242		Anguthimri	Crowley 1981	crowley_mpakwithi_1981	Please see also the general comparative notes on Australian inventories. Trill-released and prenasalized stops in Crowley 1975 interpreted here as segment sequences.
t̺	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȶ	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
k	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
p	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
n̺	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȵ	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ŋ	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
m	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
l̺	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
r̺	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ɹ̺	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
j	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
w	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
i	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
u	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
a	0000guugu_wakura	kuku1273	Gugu Wakura	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
t̺	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȶ	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
k	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
p	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
n̺	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȵ	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ŋ	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
m	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
l̺	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
r̺	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ɹ̺	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
j	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
w	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
i	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
u	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
a	kuku1273		Kuku Yalanji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
t̺	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȶ	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
k	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
p	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
n̺	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȵ	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ŋ	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
m	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
l̺	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
r̺	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ɹ̺	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
j	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
w	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
i	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
u	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
a	mulu1243		Muluridji	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
t̺	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȶ	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
k	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
p	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
n̺	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ȵ	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ŋ	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
m	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
l̺	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
r̺	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
ɹ̺	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
j	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
w	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
i	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
u	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
a	0000wagaman	kuku1273	Wagaman	Patz 2002	patz_grammar_2002	Please see also the general comparative notes on Australian inventories.
t̺	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
ȶ	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
k	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
p	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
n̺	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
ȵ	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
ŋ	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
m	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
l̺	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
r̺	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
ɹ̺	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
j	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
w	dyaa1242		Djabugay	Patz 1991	patz_djabugay_1991	Please see also the general comparative notes on Australian inventories.
