LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
apd	arabe	ɣː	ɣː			apparently all consonants can be geminate	
apd	arabe	bː	bː			apparently all consonants can be geminate	
apd	arabe	dː	dː			apparently all consonants can be geminate	
apd	arabe	ɡː	ɡː			apparently all consonants can be geminate	
apd	arabe	fː	fː			apparently all consonants can be geminate	
apd	arabe	hː	hː			apparently all consonants can be geminate	
apd	arabe	kː	kː			apparently all consonants can be geminate	
apd	arabe	jː	jː			apparently all consonants can be geminate	
apd	arabe	mː	mː			apparently all consonants can be geminate	
apd	arabe	lː	lː			apparently all consonants can be geminate	
apd	arabe	nː	nː			apparently all consonants can be geminate	
apd	arabe	sː	sː			apparently all consonants can be geminate	
apd	arabe	rː	rː			apparently all consonants can be geminate	
apd	arabe	tː	tː			apparently all consonants can be geminate	
apd	arabe	wː	wː			apparently all consonants can be geminate	
apd	arabe	vː	vː			apparently all consonants can be geminate; only in borrowed words	marginal phoneme
apd	arabe	zː	zː			apparently all consonants can be geminate	
apd	arabe	sˤː	sˤː			apparently all consonants can be geminate	
							
avu	avokaya	˦	˦				
avu	avokaya	˨	˨				
avu	avokaya	ndz	nʣ				
avu	avokaya	˧	˧				
avu	avokaya	nd	nd				
avu	avokaya	ɱv	mv				
avu	avokaya	˨˦	˨˦				
avu	avokaya	ʔ	ʔ				
avu	avokaya	kp	kp				
avu	avokaya	dz	ʣ				
avu	avokaya	mb	mb				
avu	avokaya	ndr	ndr				
avu	avokaya	ts	ʦ				
avu	avokaya	tr	tr				
avu	avokaya	ŋmɡb	ŋmɡb				
avu	avokaya	r	r				
avu	avokaya	ɪ	ɪ				
avu	avokaya	ŋɡ	ŋɡ				
avu	avokaya	ʔʲ	ʔj			AA has glottalized /y/, assumed change to /j/ for IPA	
avu	avokaya	wˀ	ʔw				
avu	avokaya	ŋ	ŋ				
avu	avokaya	ɓ	ɓ				
avu	avokaya	ɔ	ɔ				
avu	avokaya	ɗ	ɗ				
avu	avokaya	ə	ə				
avu	avokaya	ɛ	ɛ				
avu	avokaya	dr	dr				
avu	avokaya	a	a				
avu	avokaya	b	b				
avu	avokaya	d	d				
avu	avokaya	ɡ	ɡ				
avu	avokaya	f	f				
avu	avokaya	i	i				
avu	avokaya	h	h				
avu	avokaya	k	k				
avu	avokaya	j	j				
avu	avokaya	m	m				
avu	avokaya	l	l				
avu	avokaya	n	n				
avu	avokaya	p	p				
avu	avokaya	s	s				
avu	avokaya	ɲ	ɲ				
avu	avokaya	u	u				
avu	avokaya	t	t				
avu	avokaya	w	w				
avu	avokaya	v	v				
avu	avokaya	z	z				
avu	avokaya	ɡb	ɡb				
avu	avokaya	iː	iː			apparently all vowels have phonemic long counterpart	
avu	avokaya	ɪː	ɪː			apparently all vowels have phonemic long counterpart	
avu	avokaya	ɛː	ɛː			apparently all vowels have phonemic long counterpart	
avu	avokaya	əː	əː			apparently all vowels have phonemic long counterpart	
avu	avokaya	aː	aː			apparently all vowels have phonemic long counterpart	
avu	avokaya	uː	uː			apparently all vowels have phonemic long counterpart	
avu	avokaya	ɔː	ɔː			apparently all vowels have phonemic long counterpart	
							
bav	babungo (grassfields bantu, ring)	˦	˦				"""In the orthography, the tones are marked only where they carry a grammatical function."""
bav	babungo (grassfields bantu, ring)	˨	˨				
bav	babungo (grassfields bantu, ring)	ʃ	ʃ	[ʃ]	[ʃ]		affricate allophone after nasals
bav	babungo (grassfields bantu, ring)	ʃ	ʃ	[t̠ʃ]	[ʧ]		affricate allophone after nasals
bav	babungo (grassfields bantu, ring)	˦˨	˦˨				
bav	babungo (grassfields bantu, ring)	˧	˧				
bav	babungo (grassfields bantu, ring)	˨˧	˨˧				
bav	babungo (grassfields bantu, ring)	˩	˩				
bav	babungo (grassfields bantu, ring)	˨˦˧	˨˦˧				
bav	babungo (grassfields bantu, ring)	˦˧	˦˧				
bav	babungo (grassfields bantu, ring)	˨˦	˨˦				
bav	babungo (grassfields bantu, ring)	ʔ	ʔ				
bav	babungo (grassfields bantu, ring)	ŋ	ŋ				
bav	babungo (grassfields bantu, ring)	ɔ	ɔ	[ɔ]	[ɔ]		
bav	babungo (grassfields bantu, ring)	ɔ	ɔ	[ɔ̃]	ɔ̃,ɔˑ		
bav	babungo (grassfields bantu, ring)	ɔ	ɔ	[ɔˑ]	ɔ̃,ɔˑ		
bav	babungo (grassfields bantu, ring)	ə	ə	[ə]	ə̃,əˑ		
bav	babungo (grassfields bantu, ring)	ə	ə	[ə̃]	ə̃,əˑ		
bav	babungo (grassfields bantu, ring)	ə	ə	[əˑ]	ə̃,əˑ		
bav	babungo (grassfields bantu, ring)	d̠ʒ	ʤ				
bav	babungo (grassfields bantu, ring)	a	a	[a]	ã,aˑ		
bav	babungo (grassfields bantu, ring)	a	a	[ã]	ã,aˑ		
bav	babungo (grassfields bantu, ring)	a	a	[aˑ]	ã,aˑ		
bav	babungo (grassfields bantu, ring)	ɣ	ɣ				
bav	babungo (grassfields bantu, ring)	b	b				
bav	babungo (grassfields bantu, ring)	e	e	[e]	ẽ,eˑ		
bav	babungo (grassfields bantu, ring)	e	e	[ẽ]	ẽ,eˑ		
bav	babungo (grassfields bantu, ring)	e	e	[eˑ]	ẽ,eˑ		
bav	babungo (grassfields bantu, ring)	d	d				
bav	babungo (grassfields bantu, ring)	ɡ	ɡ				
bav	babungo (grassfields bantu, ring)	f	f				
bav	babungo (grassfields bantu, ring)	i	i	[i]	ĩ,iˑ		
bav	babungo (grassfields bantu, ring)	i	i	[ĩ]	ĩ,iˑ		
bav	babungo (grassfields bantu, ring)	i	i	[iˑ]	ĩ,iˑ		
bav	babungo (grassfields bantu, ring)	ɨ	ɨ	[ɨ]	ɨ̃,ɨˑ		
bav	babungo (grassfields bantu, ring)	ɨ	ɨ	[ɨ̃]	ɨ̃,ɨˑ		
bav	babungo (grassfields bantu, ring)	ɨ	ɨ	[ɨˑ]	ɨ̃,ɨˑ		
