InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	mtb	Agni Sanvi	j	j
	mtb	Agni Sanvi	m	m
	mtb	Agni Sanvi	l	l
	mtb	Agni Sanvi	o	o
	mtb	Agni Sanvi	n	n
	mtb	Agni Sanvi	p	p
	mtb	Agni Sanvi	s	s	[s]	[s]
	mtb	Agni Sanvi	s	s	[z]	[z]
	mtb	Agni Sanvi	ɲ	ɲ
	mtb	Agni Sanvi	u	u
	mtb	Agni Sanvi	t	t
	mtb	Agni Sanvi	w	w
	mtb	Agni Sanvi	a	a				confirmed in Ahua 2004
	mtb	Agni Sanvi	ĩ	ĩ				confirmed in Quaireau 1987
	mtb	Agni Sanvi	ɪ̃	ɪ̃				confirmed in Quaireau 1987
	mtb	Agni Sanvi	ə̃	ə̃				not in Quarieau 1987
	mtb	Agni Sanvi	ũ	ũ				confirmed in Quaireau 1987
	mtb	Agni Sanvi	ʊ̃	ʊ̃̃				confirmed in Quaireau 1987
	mtb	Agni Sanvi	ã	ã				confirmed in Quaireau 1987

654	ahl	Ahlõ	˦	˦			high; marked in AA
	ahl	Ahlõ	˨	˨			low; marked in AA
	ahl	Ahlõ	˧	˧			mid; marked in AA
	ahl	Ahlõ	ɡb	ɡb
	ahl	Ahlõ	d̠ʒ	ʤ
	ahl	Ahlõ	t̠ʃ	ʧ
	ahl	Ahlõ	kp	kp
	ahl	Ahlõ	ŋ	ŋ
	ahl	Ahlõ	ɔ	ɔ
	ahl	Ahlõ	ɖ	ɖ
	ahl	Ahlõ	ɛ	ɛ
	ahl	Ahlõ	a	a
	ahl	Ahlõ	b	b
	ahl	Ahlõ	e	e
	ahl	Ahlõ	d	d
	ahl	Ahlõ	ɡ	ɡ
	ahl	Ahlõ	f	f
	ahl	Ahlõ	i	i
	ahl	Ahlõ	h	h
	ahl	Ahlõ	k	k
	ahl	Ahlõ	j	j
	ahl	Ahlõ	m	m
	ahl	Ahlõ	l	l	[l]	[l]
	ahl	Ahlõ	l	l	[r]	[r]
	ahl	Ahlõ	o	o
	ahl	Ahlõ	n	n
	ahl	Ahlõ	p	p
	ahl	Ahlõ	s	s
	ahl	Ahlõ	ɲ	ɲ
	ahl	Ahlõ	u	u
	ahl	Ahlõ	t	t
	ahl	Ahlõ	w	w
	ahl	Ahlõ	v	v
	ahl	Ahlõ	z	z

655	aka	Akan	˦	˦				Dolphyne lists only H and L tones
	aka	Akan	˨	˨				Dolphyne lists only H and L tones
	aka	Akan	ɪ	ɪ
	aka	Akan	˧	˧				Dolphyne lists only H and L tones
	aka	Akan	ʊ	ʊ
	aka	Akan	˦˨	˦˨				Dolphyne lists only H and L tones
	aka	Akan	ŋ	ŋ
	aka	Akan	ɔ	ɔ
	aka	Akan	ɛ	ɛ
	aka	Akan	a	a
	aka	Akan	b	b
	aka	Akan	e	e
	aka	Akan	d	d
	aka	Akan	ɡ	ɡ
	aka	Akan	f	f
	aka	Akan	i	i
	aka	Akan	h	h
	aka	Akan	k	k
	aka	Akan	j	j
	aka	Akan	m	m
