InventoryID	BibtexKey	Source
380	Fagan1988	upsid
380	Horne1961	upsid
380	Herrfurth1964	upsid
380	Uhlenbeck1963	upsid
381	Bendor-Samuel1961	upsid
382	FlemingDennis1977	upsid
383	BeasleyPike1957	upsid
384	Bloch1950	upsid
384	Jorden1963	upsid
384	Martin1952	upsid
384	Shibatani1990	upsid
385	Hardman1966	upsid
385	Hardman1983	upsid
386	DurbinSeijas1972	upsid
387	Liu1964	upsid
388	Kleinschmidt1851	upsid
388	Rischel1974	upsid
388	Thalbitzer1904	upsid
389	Bhat1987	upsid
389	KelkarTrisal1964	upsid
389	Zakharin1974	upsid
389	ZakharinEdelman1971	upsid
390	Neisser1953	upsid
390	RobinsWaterson1952	upsid
390	Selmer1935	upsid
390	Tschenkeli1958	upsid
390	Vogt1938	upsid
390	Vogt1958	upsid
390	Vogt1971	upsid
391	Kuipers1960	upsid
392	Howard1976	upsid
392	Howard1972	upsid
392	Mongui1981	upsid
393	Dutton1969	upsid
394	Fleming1976	upsid
395	Voorhoeve1971	upsid
396	Gulya1966	upsid
396	Katz1975	upsid
396	Steinitz1950	upsid
397	Freeze1975	upsid
397	Haeseriju1966	upsid
398	Ebert1976	upsid
398	Ebert1979	upsid
399	Dulzon1968	upsid
399	Krejnovich1968	upsid
400	Emeneau1944	upsid
401	Tyler1969	upsid
402	Henry1935	upsid
402	Kindell1972	upsid
402	Wiesemann1972	upsid
403	Rabel1961	upsid
404	Li1964	upsid
405	Hangin1968	upsid
405	Luvsanvandan1964	upsid
405	Street1963	upsid
405	Svantesson1985	upsid
406	Counts1969	upsid
407	Ehrman1972	upsid
407	Huffman1970a	upsid
407	Huffman1970b	upsid
407	Jacob1968	upsid
408	Biligiri1965	upsid
408	Pinnow1959	upsid
409	Sivertsen1956	upsid
409	WatkinsMcKenzie1984	upsid
409	Harrington1928	upsid
410	HerbertPoppe1963	upsid
410	Junusaliev1966	upsid
411	Wurm1977	upsid
412	Svantesson1983	upsid
413	Miller1966	upsid
414	FranklinFranklin1962	upsid
415	Paulian1975	upsid
416	Barker1964	upsid
417	Singler1979	upsid
418	Kooyers_etal1971	upsid
419	AbdullaMcCarus1967	upsid
420	Newman1974	upsid
421	Awobuluyi1971	upsid
421	Hutchison1981	upsid
421	Lukas1937	upsid
422	Gajendragadkar1970	upsid
422	Madtha1984	upsid
422	Major1979	upsid
423	Cho1967	upsid
423	Kim1972	upsid
423	Kim1986	upsid
423	Martin1951	upsid
423	Martin1954	upsid
423	MartinLee1969	upsid
424	Shimizu1971	upsid
425	Manley1972	upsid
426	Bubrix1949	upsid
426	Lytkin1966	upsid
427	Zhukova1980	upsid
428	Montgomery1970	upsid
429	Pfeiffer1972	upsid
429	Pinnow1964	upsid
430	Jones1961	upsid
431	Blake1979	upsid
432	Snyman1970	upsid
432	Snyman1975	upsid
433	TuckerBryan1966	upsid
434	Pence1966	upsid
435	Sherzer1983	upsid
436	Keesing1985	upsid
437	Boas1911	upsid
437	Boas1947	upsid
437	Grubb1977	upsid
437	Newman1950	upsid
438	Bright1957	upsid
439	Haudricourt1967	upsid
440	Khajdakov1966	upsid
440	Murkelinskij1967	upsid
440	Zhirkov1955	upsid
441	Hofftmann1971	upsid
442	Anderson1986	upsid
442	Crazzolara1960	upsid
442	TuckerBryan1966	upsid
443	Matisoff1973	upsid
444	Ambrazas_etal1966	upsid
444	Augustitis1964	upsid
444	Senn1966	upsid
445	BoasDeloria1941	upsid
446	Sachnine1982	upsid
447	Bright1965	upsid
447	Bright1968	upsid
447	Hyde1971	upsid
447	KroeberGrace1960	upsid
447	Malecot1963	upsid
448	Gregersen1961	upsid
449	Snyder1968	upsid
450	Jamieson1976	upsid
450	Jamieson1976b	upsid
450	PikePike1947	upsid
451	TuckerBryan1966	upsid
451	TuckerMpaayei1955	upsid
452	Pike1951	upsid
452	Spotts1953	upsid
453	Gudschinsky_etal1970	upsid
454	PerrinHill1969	upsid
455	Hagege1970	upsid
456	TuckerBryan1966	upsid
457	Allan1976b	upsid
458	Pasch1986	upsid
459	Weiers1971	upsid
460	Ristinen1960	upsid
461	HunterPike1969	upsid
462	Todaeva1973	upsid
463	Austin1962	upsid
464	Laycock1978	upsid
465	BlackBlack1971	upsid
465	Schadeberg1981a	upsid
466	Birk1975	upsid
466	Tryon1974	upsid
467	CapellHinch1970	upsid
468	MacDonald1973	upsid
469	Voorhoeve1982	upsid
469	Watuseke1976	upsid
470	Hoffmann1963	upsid
470	Maddieson1987	upsid
471	McKaughan1958	upsid
471	McKaughanMacaraya1967	upsid
472	Crawford1963	upsid
472	SchoenhalsSchoenhals1965	upsid
473	Arensen1982	upsid
473	TurtonBender1976	upsid
474	StreetMollinjin1981	upsid
475	Kennedy1981	upsid
475	Wurm1972a	upsid
476	Okell1969	upsid
477	Everett1982	upsid
477	Rodrigues1980	upsid
477	Sheldon1974	upsid
478	Shimizu1983	upsid
479	JudyJudy1962	upsid
480	Price1976	upsid
481	Jiahua1960	upsid
482	Beach1938	upsid
482	LadefogedTraill1980	upsid
483	HurdHurd1966	upsid
484	SapirHoijer1967	upsid
485	Bradley1975	upsid
485	Jiang1980	upsid
486	Brockway1963	upsid
486	Law1955	upsid
486	SchumannGarcia1966	upsid
487	Gueye1986	upsid
488	Bandhu_etal1971	upsid
489	HaleHale1969	upsid
489	Manandhar1986	upsid
490	Aoki1966	upsid
490	Aoki1970	upsid
490	Aoki1970a	upsid
491	Schuh1972	upsid
492	Hyman1981	upsid
493	Boyeldieu1985	upsid
494	Castren1966	upsid
494	Tereshchenko1966b	upsid
494	Tereshchenko1979	upsid
495	Anceaux1965	upsid
496	Austerlitz1956	upsid
496	Krejnovich1937	upsid
496	Panfilov1962	upsid
496	Panfilov1968	upsid
496	ZinderMatusevich1937	upsid
497	Gurubasave-Gowda1972	upsid
497	Gurubasave-Gowda1975	upsid
498	Shipley1956	upsid
498	Shipley1964	upsid
499	Vanvik1972	upsid
500	Jacobsen1969	upsid
500	SapirMorris1939	upsid
500	SapirMorris1955	upsid
501	Bender1968	upsid
501	Thompson1976	upsid
502	Li1977	upsid
503	HughesLeeding1971	upsid
504	Stevenson1957	upsid
504	TuckerBryan1966	upsid
505	Heine1975a	upsid
506	AgnewPike1957	upsid
507	Williamson1972	upsid
507	Williamson1970	upsid
508	Bloomfield1957	upsid
509	Hale1959	upsid
509	Saxton1963	upsid
510	Efimov1986	upsid
511	Watson1964	upsid
512	Holt1986	upsid
513	Gerdel1973	upsid
514	Cauty1974	upsid
514	Cauty1974b	upsid
514	Cauty1978	upsid
515	Gedney1965	upsid
516	Obolensky_etal1963	upsid
517	Dahl1952	upsid
517	Dyen1971	upsid
518	Moshinsky1974	upsid
519	Rehg1981	upsid
519	Rehg1984	upsid
519	Rehg1984a	upsid
520	Diffloth1980	upsid
520	MaddiesonLadefoged1985	upsid
520	QiuNie1980	upsid
521	Grjunberg1987	upsid
521	Penzl1955	upsid
521	Shafeev1964	upsid
522	Ferrel1982	upsid
522	Ho1977	upsid
523	Cooke_etal1976	upsid
524	Bills_etal1969	upsid
524	Lastra1968	upsid
524	Parker1969	upsid
525	Powell1975	upsid
526	Allin1976	upsid
527	Agard1958	upsid
527	Tataru1978	upsid
527	Ruhlen1973	upsid
528	Firchow1969	upsid
529	Bluhme1970	upsid
529	Davis1974	upsid
530	Halle1959	upsid
530	JonesWard1969	upsid
531	Dzhejranishvili1967	upsid
531	Ibragimov1978	upsid
532	Dempwolff1916	upsid
532	Elderkin1982	upsid
532	Tucker_etal1977	upsid
533	Samarin1967a	upsid
533	Samarin1967b	upsid
534	Bohtlingk1964	upsid
534	Krueger1962	upsid
534	Ubrjatova1966	upsid
535	Smith1968	upsid
536	Chafe1967	upsid
537	Welmers1950	upsid
538	Katz1975a	upsid
539	Prost1956	upsid
539	Williamson1967	upsid
540	Cowan1965	upsid
541	MigliazzaGrimes1961	upsid
542	Applegate1958	upsid
543	Kuipers1974	upsid
544	Silver1964	upsid
545	CoatesSilva1960	upsid
546	Harms1984	upsid
546	Harms1985	upsid
547	Broadbent1964	upsid
547	Freeland1951	upsid
548	Benaissa1979	upsid
