InventoryID	LanguageCode	Glottocode	BibtexKey	Source
179	eus	basq1248	Ndiaye1970	spa
179	eus	basq1248	Gavel1929	spa
180	fin	finn1318	Lehtinen1964	spa
180	fin	finn1318	Harms1964	spa
180	fin	finn1318	Austerlitz1967	spa
180	fin	finn1318	Hammarberg1974	spa
180	fin	finn1318	Kiparsky1968	spa
180	fin	finn1318	Harms1966	spa
181	mhr	east2328	Ristinen1960	spa
182	kpv	komi1268	Lytkin1966	spa
182	kpv	komi1268	Bubrich1949	spa
183	hun	hung1274	Kalman1972	spa
183	hun	hung1274	Banhidi_etal1965	spa
183	hun	hung1274	Hall1938	spa
183	hun	hung1274	Hall1944	spa
184	kca	khan1273	Gulya1966	spa
184	kca	khan1273	Steinitz1950	spa
184	kca	khan1273	Katz1975	spa
185	yrk	nene1249	Hajdu1963	spa
185	yrk	nene1249	Decsy1966	spa
185	yrk	nene1249	Ristinen1965	spa
185	yrk	nene1249	Ristinen1968	spa
185	yrk	nene1249	Katz1975	spa
186	tur	nucl1301	Swift1963	spa
186	tur	nucl1301	Lees1961	spa
186	tur	nucl1301	Underhill1976	spa
187	azb	sout2697	HouseholderLofti1965	spa
188	kir	kirg1245	HerbertPoppe1963	spa
189	chv	chuv1255	Kruger1961	spa
189	chv	chuv1255	Andreev1966	spa
190	sah	yaku1245	Krueger1962	spa
190	sah	yaku1245	Bohtlingk1964	spa
191	khk	halh1238	Hangin1968	spa
191	khk	halh1238	Luvsanvandan1964	spa
191	khk	halh1238	Street1963	spa
192	eve	even1260	Novikova1960	spa
193	yux	sout2750	Krejnovich1968b	spa
193	yux	sout2750	Krejnovich1958	spa
194	niv	gily1242	Panfilov1962	spa
194	niv	gily1242	Panfilov1968	spa
195	ckt	chuk1273	Skorik1968	spa
195	ckt	chuk1273	Skorik1961	spa
196	ain	ainu1240	Simeon1969	spa
197	jpn	nucl1643	Bloch1950	spa
197	jpn	nucl1643	Martin1952	spa
197	jpn	nucl1643	Jorden1963	spa
198	aal	afad1236	Bouny1977	upsid
199	acv	achu1247	Olmsted1964	upsid
199	acv	achu1247	Olmsted1966	upsid
200	adz	adze1240	Holzknecht1973	upsid
201	aer	east2379	NO SOURCE GIVEN	upsid
202	aey	amel1241	Roberts1987	upsid
203	agm	anga1290	Huisman1973	upsid
