InventoryID	LanguageCode	Glottocode
863	crd	coeu1236
864	com	coma1245
865	cup	cupe1243
866	cuv	cuvo1236
867	anv	deny1238
868	kxl	nepa1253
869	aoj	mufi1238
870	usa	usar1243
871	kpr	kora1294
872	bjr	binu1245
873	ego	eggo1239
874	ekp	ekpe1253
875	enb	mark1255
876	ags	esim1238
877	fan	fang1246
878	fuu	furu1242
879	gbd	kara1476
880	gby	gbar1246
881	gvf	goli1247
882	gub	guaj1255
883	gup	gunw1252
884	hay	haya1250
885	wya	wyan1247
886	hch	huic1243
887	qwh	huay1240
888	huv	sanm1287
889	qxw	jauj1238
890	lyn	luya1241
891	iby	iban1261
892	imn	imon1245
893	inh	ingu1240
894	ksi	kris1246
895	yal	yalu1240
896	jar	jara1263
897	jaa	jama1261
898	tow	jeme1245
899	mgi	liji1238
900	kab	kaby1243
901	gid	gida1247
902	kyz	kaya1329
903	kms	kama1367
904	kxo	kano1245
905	ndb	kens1251
906	xrb	east2398
907	kmv	kari1301
908	ken	keny1279
909	khr	khar1287
910	cog	chon1284
911	kin	kiny1244
912	okr	kiri1254
913	kkk	koko1269
914	kme	bako1250
915	kma	konn1242
916	kdt	kuyy1240
917	kle	kulu1253
918	kto	kuot1243
919	kgg	kusu1250
920	kxv	kuvi1243
921	xwa	kwaz1243
922	lbj	lada1244
923	lag	lang1320
924	lao	laoo1244
925	lvk	lavu1241
926	bwt	bafa1247
927	lun	lund1266
928	lch	luch1239
929	bdu	orok1266
930	mkd	mace1250
931	mxu	mada1293
932	grg	madi1261
933	mva	mana1295
934	bce	bame1260
935	nmm	mana1288
936	nge	ngem1255
937	mec	mara1385
938	ayz	maib1239
939	gmm	gbay1281
940	byv	medu1238
941	xmf	ming1252
942	bfm	mmen1238
943	mwt	moke1242
944	cas	mose1249
945	mgg	mpon1254
946	mhk	mung1266
947	nmg	kwas1243
948	mlv	motl1237
949	nnm	nami1256
950	nml	ndem1249
951	apm	mesc1238
952	yum	quec1382
953	nnk	nank1250
954	niq	nand1266
955	kig	kima1246
956	mff	naki1238
957	ncl	mich1245
958	nag	naga1394
959	nsh	ngos1238
960	nig	ngal1293
961	nam	nang1259
962	igo	iseb1246
963	nla	ngom1271
964	noo	noot1239
965	kxm	nort2684
966	pao	nort2954
967	kcn	nubi1253
968	nus	nuer1246
969	ekm	elip1238
970	nym	nyam1276
971	nyl	nyeu1238
972	ann	obol1243
973	mpt	mian1256
974	fai	faiw1243
975	oku	okuu1243
976	oss	osse1243
977	pau	pala1344
978	okv	orok1269
979	yll	yill1241
980	niz	ning1273
981	dob	dobu1241
982	smq	samo1303
983	uvh	urii1240
984	bzf	boik1241
985	prt	phai1238
986	mlf	mall1246
987	rma	rama1270
988	xmt	matb1237
989	run	rund1242
990	nyn	nyan1307
991	rwr	marw1260
992	ndi	samb1305
993	sbd	sout2844
994	sxm	samr1245
995	sae	saba1268
996	str	stra1244
997	sas	sasa1249
998	svr	sava1244
999	pos	sayu1241
1000	sey	seco1241
1001	trv	taro1264
1002	ssg	seim1238
1003	sza	seme1247
1004	ser	serr1255
1005	sbf	shab1252
1006	ywn	yawa1260
1007	kde	mako1251
1008	sna	shon1251
1009	bax	bamu1253
1010	sjr	siar1238
1011	skr	sera1259
1012	sjw	shaw1249
1013	skv	nucl1634
1014	thm	aheu1239
1015	erk	sout2856
1016	spo	spok1245
1017	sso	siss1243
1018	stw	sata1237
1019	ulw	ulwa1239
1020	jup	hupd1244
1021	zoc	copa1236
1022	ztp	loxi1235
1023	yuk	yuki1243
1024	yap	yape1248
1025	yur	yuro1248
1026	yuz	yura1255
1027	yux	sout2750
1028	wbm	nucl1290
1029	wms	wamb1259
1030	was	wash1253
1031	way	waya1269
1032	woc	woge1237
1033	var	huar1255
1034	vai	vaii1241
1035	ukr	ukra1253
1036	phl	phal1254
1037	mky	east2440
1038	tpi	tokp1240
1039	bjz	baru1269
1040	tav	tatu1247
1041	tgw	tagw1240
1042	mzn	maza1291
1043	blk	paok1235
1044	tft	tern1247
1045	tob	toba1269
1046	pol	poli1260
1047	cmn	mand1415
1048	ijn	kala1381
1049	ydd	east2295
1050	nld	dutc1256
1051	mla	malo1243
1052	gay	gayo1244
1053	jam	jama1262
1054	mcs	mamb1294
1055	arg	arag1245
1056	zts	tilq1235
1057	ibb	ibib1240
1058	tam	tami1289
1059	zpq	zoog1238
1060	bgo	baga1273
1061	nxl	sout2895
1062	slu	sela1259
1063	tvd	tsuv1239
1064	wos	hang1263
1065	blr	blan1242
1066	txx	tata1257
1067	bod	tibe1272
1068	ruk	chee1238
1069	tol	tolo1259
1070	pae	pagi1243
1071	cho	choc1276
1072	crg	mich1243
1073	plg	pila1245
1074	yuc	yuch1247
1075	bwi	bani1255
1076	ktn	kari1311
1077	esi	nort2943
1078	zab	sanj1284
1079	tzo	tzot1259
1080	sid	sida1246
1081	bdr	west2560
1082	cid	chim1301
1083	tee	hueh1236
1084	ute	utes1238
1085	duo	dupa1235
1086	ton	tong1325
1087	lmw	lake1258
1088	lzz	lazz1240
1089	jun	juan1238
1090	adn	adan1251
1091	ael	ambe1247
1092	apu	apur1254
1093	ace	achi1257
1094	aig	anti1245
1095	akl	akla1241
1096	arh	arhu1242
1097	arr	karo1305
1098	ayl	liby1240
1099	bbc	bata1289
1100	bci	baou1238
1101	bfw	bond1245
1102	biw	kolc1235
1103	bla	siks1238
1104	bll	bilo1248
1105	bzj	beli1260
1106	cku	koas1236
1107	coo	como1259
1108	cso	soch1239
1109	diq	diml1238
1110	ets	yekh1238
1111	frr	nort2626
1112	gju	guja1253
1113	gvc	guan1269
1114	hum	hung1278
1115	hur	halk1245
1116	hus	huas1242
1117	ilo	ilok1237
1118	kbc	kadi1248
1119	kub	kute1248
1120	kwi	awac1239
1121	lis	lisu1250
1122	los	loni1238
1123	mbe	mola1238
1124	mcf	mats1244
1125	mni	mani1292
1126	mnk	mand1436
1127	moc	moco1246
1128	mam	mamm1241
1129	myu	mund1330
1130	ncg	nisg1240
1131	nds	nort2627
1132	pmq	nort2984
1133	par	pana1305
1134	pcm	nige1257
1135	pej	nort2966
1136	poq	texi1237
1137	kca	khan1273
1138	cat	stan1289
1139	hrv	croa1245
1140	ces	czec1258
1141	glg	gali1258
1142	kbp	kabi1261
1143	mnh	mono1270
1144	ind	indo1316
1145	ita	ital1282
1146	qxl	sala1272
1147	sei	seri1257
1148	snd	sind1272
1149	slv	slov1268
1150	swe	swed1254
1151	mky	east2440
1152	khc	tuka1248
1153	pib	yine1238
1154	quc	kich1262
1155	qvh	huam1248
1156	qum	sipa1247
1157	qug	chim1302
1158	tpt	tlac1235
1159	abt	ambu1247
1160	aau	abau1245
1161	ahg	qima1242
1162	ahk	akha1245
1163	aly	alya1239
1164	amn	aman1265
1165	anu	anua1242
1166	jbj	aran1237
1167	aon	bumb1241
1168	tcb	tana1290
1169	avt	auuu1241
1170	tpz	tinp1237
1171	pex	peta1245
1172	ptp	pate1247
1173	kcl	kela1255
1174	sgz	surs1246
1175	awx	awar1248
1176	azo	awin1248
1177	kmn	awtu1239
1178	bbw	baba1264
1179	bbk	baba1266
1180	bkh	bako1249
1181	muo	nyon1241
1182	bvm	bamu1256
1183	bgj	bang1356
1184	bnm	bata1285
1185	bch	bari1286
1186	bby	befa1241
1187	dbj	idaa1241
1188	bem	bemb1257
1189	brc	berb1259
1190	xub	bett1235
1191	bhw	biak1248
1192	nbj	ngar1235
1193	bhg	bina1277
1194	bwq	sout2840
1195	bol	nucl1695
1196	bot	bong1285
1197	bwo	boro1277
1198	bkk	brok1247
1199	bsp	baga1272
1200	bbx	bubi1249
1201	bxk	buku1249
1202	sbs	subi1246
1203	ttl	tote1238
1204	bmo	bamb1265
1205	mrq	nort2845
1206	oon	onge1236
1207	plo	olut1240
1208	jya	jiar1239
1209	suq	suri1267
1210	blb	bilu1245
1211	hoa	hoav1238
1212	fil	fili1244
1213	nxg	ngad1261
1214	mnb	muna1247
1215	xxk	keoo1238
1216	thm	aheu1239
1217	skf	saki1248
1218	tiw	tiwi1244
1219	trw	torw1241
1220	tdh	thul1246
1221	tsj	tsha1245
1222	cof	colo1256
1223	tzj	tzut1248
1224	pww	pwon1235
1225	tyv	tuvi1240
1226	kfk	kinn1249
1227	wtm	mewa1250
1228	aty	anei1239
1229	atb	zaiw1241
1230	cic	chic1270
1231	fur	friu1240
1232	apj	jica1244
1233	ega	egaa1242
1234	fub	adam1253
1235	are	west2441
1236	xsu	sanu1240
1237	pav	wari1268
1238	cro	crow1244
1239	boi	barb1263
1240	lee	lyel1241
1241	fub	adam1253
1242	any	anyi1245
1243	any	anyi1245
1244	mtb	anyi1244
1245	aka	akan1250
1246	cko	anuf1239
1247	bvx	dibo1245
1248	bcw	bana1305
1249	bdh	baka1274
1250	aja	ajas1235
1251	bip	bila1255
1252	bqp	busa1253
1253	fub	adam1253
1254	fuv	nige1253
1255	her	here1253
1256	sef	ceba1235
1257	khq	koyr1240
1258	ksf	bafi1243
1259	lea	lega1249
1260	lmp	limb1268
1261	lmp	limb1268
1262	lmp	limb1268
1263	mye	myen1241
1264	bud	ntch1242
1265	baz	tune1241
1266	mgw	matu1259
1267	yao	yaoo1241
1268	umb	umbu1257
1269	ndo	ndon1254
1270	mhw	mbuk1240
1271	diu	diri1252
1272	kwn	kwan1273
1273	snk	soni1259
1274	ses	koyr1242
1275	lln	lele1276
1276	kck	kala1384
1277	lol	mong1338
1278	wok	long1387
1279	xwe	xwel1235
