InventoryID,BibtexKey
349,Wurm1972a
350,Hashimoto1973
351,Abraham1934
351,Abraham1959
351,Abraham1959a
351,BraunerAshiwajn1965
351,Greenberg1941
351,Hodge1947
351,HodgeUmaru1963
351,Kraft1963
351,KraftKirk-Greene1973
351,KraftKraft1973
351,Taylor1959
352,PukuiElbert1965
352,ElbertPukui1979
352,Schutz1981
353,Sapir1923
354,Kelkar1968
354,Ohala1983
354,Pinnow1953
354,Srivastava1969
354,VermeerSharma1966
355,Derbyshire1985
356,KluckhohnMacLeish1955
356,Voegelin1956
356,Whorf1946
357,DempwolffND
357,TuckerMpaayei1955
358,Banhidi_etal1965
358,Hall1938
358,Hall1944
358,Kalman1972
359,Golla1970
359,Woodward1964
360,LarsenPike1949
360,Ochoa-Peralta1984
361,Stairs_etal1981
361,Suarez1975
362,Allen1950
363,Haudricourt1971
363,Ozanne-Rivierre1976
363,Tryon1968
364,Kuala1981
364,Scott1957
365,Carnochan1948
365,Ladefoged1964
365,Ladefoged1976
365,Swift_etal1962
365,Ward1936
365,Williamson1969
366,OttOtt1967
367,Williamson1965
368,Heine1975b
369,Voorhoeve1989
370,Whiteley1958
371,Meader1967
372,Donwa1982
373,Volodin1976
374,LiccardiGrimes1968
375,Mao_etal1982
375,Purnell1965
376,CottleCottle1958
376,HeyeHeye1967
376,HidalgoHidalgo1971
377,Laycock1965
378,Craig1977
378,Day1973
379,HuttarKirton1981
379,Kirton1967
379,KirtonCharlie1978
380,Fagan1988
380,Horne1961
380,Herrfurth1964
380,Uhlenbeck1963
381,Bendor-Samuel1961
382,FlemingDennis1977
383,BeasleyPike1957
384,Bloch1950
384,Jorden1963
384,Martin1952
384,Shibatani1990
385,Hardman1966
385,Hardman1983
386,DurbinSeijas1972
387,Liu1964
388,Kleinschmidt1851
388,Rischel1974
388,Thalbitzer1904
389,Bhat1987
389,KelkarTrisal1964
389,Zakharin1974
389,ZakharinEdelman1971
390,Neisser1953
390,RobinsWaterson1952
390,Selmer1935
390,Tschenkeli1958
390,Vogt1938
390,Vogt1958
390,Vogt1971
391,Kuipers1960
392,Howard1976
392,Howard1972
392,Mongui1981
393,Dutton1969
394,Fleming1976
395,Voorhoeve1971
396,Gulya1966
396,Katz1975
396,Steinitz1950
397,Freeze1975
397,Haeseriju1966
398,Ebert1976
398,Ebert1979
399,Dulzon1968
399,Krejnovich1968
400,Emeneau1944
401,Tyler1969
402,Henry1935
402,Kindell1972
402,Wiesemann1972
403,Rabel1961
404,Li1964
405,Hangin1968
405,Luvsanvandan1964
405,Street1963
405,Svantesson1985
406,Counts1969
407,Ehrman1972
407,Huffman1970a
407,Huffman1970b
407,Jacob1968
408,Biligiri1965
408,Pinnow1959
409,Sivertsen1956
