"InventoryID","ISO6393","Glottocode","LanguageName","Source"
234,"awn","awng1244","AWIYA","upsid"
235,"axb","abip1241","ABIPON","upsid"
236,"azj","nort2697","AZERBAIJANI","upsid"
237,"bak","bash1264","BASHKIR","upsid"
238,"bam","bamb1269","BAMBARA","upsid"
239,"bao","waim1255","BARASANO","upsid"
240,"bba","baat1238","BARIBA","upsid"
241,"bbc","bata1289","BATAK","upsid"
242,"bbl","bats1242","BATS","upsid"
243,"bbo","nort2819","BOBO-FING","upsid"
244,"bca","cent2004","BAI","upsid"
245,"bcj","bard1255","BARDI","upsid"
246,"bcs","kohu1244","KOHUMONO","upsid"
247,"bdl","indo1317","SAMA","upsid"
248,"xjb","twee1234","BANDJALANG","upsid"
249,"bej","beja1238","BEJA","upsid"
250,"ben","beng1280","BENGALI","upsid"
251,"beq","beem1239","BEEMBE","upsid"
252,"bev","dalo1238","BETE","upsid"
253,"bib","biss1248","BISA","upsid"
254,"bkq","baka1277","BAKAIRI","upsid"
255,"blc","bell1243","BELLA COOLA","upsid"
256,"bmr","muin1242","MUINANE","upsid"
257,"bom","bero1242","BIROM","upsid"
258,"bor","boro1282","BORORO","upsid"
259,"brb","lave1249","BRAO","upsid"
260,"bre","bret1244","BRETON","upsid"
261,"brh","brah1256","BRAHUI","upsid"
262,"brv","west2397","BRUU","upsid"
263,"brx","bodo1269","BODO","upsid"
264,"bsk","buru1296","BURUSHASKI","upsid"
265,"bul","bulg1262","BULGARIAN","upsid"
266,"bvr","bura1267","BURARRA","upsid"
267,"byx","qaqe1238","BAINING","upsid"
268,"bzd","brib1243","BRIBRI","upsid"
269,"cad","cadd1256","CADDO","upsid"
270,"cag","niva1238","ASHUSLAY","upsid"
271,"caq","carn1240","NICOBARESE","upsid"
272,"car","gali1262","CARIB","upsid"
273,"cbi","chac1249","CAYAPA","upsid"
274,"cbn","nyah1250","NYAH KUR","upsid"
275,"cbv","cacu1241","CACUA","upsid"
276,"cdo","mind1253","FUZHOU","upsid"
277,"cha","cham1312","CHAMORRO","upsid"
278,"chp","chip1261","CHIPEWYAN","upsid"
279,"chq","quio1240","HIGHLAND CHINANTEC","upsid"
280,"chr","cher1273","CHEROKEE","upsid"
281,"chv","chuv1255","CHUVASH","upsid"
282,"cja","west2650","CHAM","upsid"
283,"cjh","uppe1439","UPPER CHEHALIS","upsid"
284,"cjv","chua1250","CHUAVE","upsid"
285,"ckt","chuk1273","CHUKCHI","upsid"
286,"cmn","mand1415","MANDARIN","upsid"
287,"cnh","haka1240","LAI","upsid"
288,"cni","asha1243","CAMPA","upsid"
289,"con","cofa1242","COFAN","upsid"
290,"cou","wame1240","KONYAGI","upsid"
291,"cqd","chua1256","HMONG","upsid"
292,"crb","isla1278","ISLAND CARIB","upsid"
293,"ctd","tedi1235","TIDDIM CHIN","upsid"
294,"ctp","west2644","CHATINO","upsid"
295,"cub","cube1242","CUBEO","upsid"
296,"cyb","cayu1262","CAYUVAVA","upsid"
297,"daa","dang1274","DANGALEAT","upsid"
298,"daf","dann1241","DAN","upsid"
299,"dag","dagb1246","DAGBANI","upsid"
300,"daj","darf1239","DAJU","upsid"
301,"dal","daha1245","DAHALO","upsid"
302,"njz","nyis1236","DAFLA","upsid"
303,"dbl","dyir1250","DYIRBAL","upsid"
304,"deu","stan1295","GERMAN","upsid"
305,"dif","dier1241","DIYARI","upsid"
306,"dih","kumi1248","DIEGUENO","upsid"
307,"dip","nort2815","DINKA","upsid"
308,"dni","lowe1415","DANI","upsid"
309,"doc","nort2735","KAM","upsid"
310,"dow","doya1240","DOAYO","upsid"
311,"dru","ruka1240","RUKAI","upsid"
312,"dta","daur1238","DAGUR","upsid"
313,"dts","toro1252","DOGON","upsid"
314,"duj","dhuw1249","YOLNGU","upsid"
315,"dyo","jola1263","DIOLA","upsid"
316,"efi","efik1245","EFIK","upsid"
317,"ekg","ekar1243","EKARI","upsid"
318,"ell","mode1248","GREEK","upsid"
319,"ess","cent2128","YUPIK","upsid"
320,"etu","ejag1239","EJAGHAM","upsid"
321,"eus","basq1248","BASQUE","upsid"
322,"eve","even1260","EVEN","upsid"
323,"ewe","ewee1241","EWE","upsid"
324,"ewo","ewon1239","EWONDO","upsid"
325,"eya","eyak1241","EYAK","upsid"
326,"faa","fasu1242","FASU","upsid"
327,"fia","nobi1240","NUBIAN","upsid"
328,"fij","fiji1243","FIJIAN","upsid"
329,"fin","finn1318","FINNISH","upsid"
330,"fmp","fefe1239","FE?FE?","upsid"
331,"fra","stan1290","FRENCH","upsid"
332,"fun","fuln1247","IATE","upsid"
333,"fvr","furr1244","FUR","upsid"
334,"fwa","fwai1237","PO-AI","upsid"
335,"gaa","gaaa1244","GA","upsid"
336,"gaj","gads1258","GADSUP","upsid"
337,"wrk","gara1269","GARAWA","upsid"
338,"gbp","gbay1287","GBEYA","upsid"
339,"gbr","gbag1258","GWARI","upsid"
340,"gqu","qaua1234","GELAO","upsid"
341,"gld","nana1257","NANAI","upsid"
342,"gle","iris1253","IRISH","upsid"
343,"dwr","dawr1236","KULLO","upsid"
344,"guc","wayu1243","GUAJIRO","upsid"
345,"gug","para1311","GUARANI","upsid"
346,"guh","guah1255","GUAHIBO","upsid"
347,"gum","guam1248","GUAMBIANO","upsid"
348,"guq","ache1246","ACHE","upsid"
349,"gvn","kuku1273","GUGU-YALANDYI","upsid"
350,"hak","hakk1236","HAKKA","upsid"
351,"hau","haus1257","HAUSA","upsid"
352,"haw","hawa1245","HAWAIIAN","upsid"
353,"hdn","nort2938","HAIDA","upsid"
354,"hin","hind1269","HINDI-URDU","upsid"
355,"hix","hixk1239","HIXKARYANA","upsid"
356,"hop","hopi1249","HOPI","upsid"
357,"hts","hadz1240","HADZA","upsid"
358,"hun","hung1274","HUNGARIAN","upsid"
359,"hup","hupa1239","HUPA","upsid"
360,"hus","huas1242","HUASTECO","upsid"
361,"huv","sanm1287","HUAVE","upsid"
362,"hye","nucl1235","ARMENIAN","upsid"
363,"iai","iaai1238","IAI","upsid"
364,"iba","iban1264","IBAN","upsid"
365,"ibo","nucl1417","IGBO","upsid"
366,"ign","igna1246","MOXO","upsid"
367,"ijc","izon1238","KOLOKUMA IJO","upsid"
368,"ikx","ikkk1242","IK","upsid"
369,"irh","irar1238","IRARUTU","upsid"
