InventoryID	LanguageCode	LanguageName	upsidLangNum
570	tet	TETUN	2437
571	tgc	TIGAK	2425
572	tgl	TAGALOG	2414
573	tha	THAI	2400
574	thv	TAMASHEQ	4357
575	tig	TIGRE	4351
576	tiw	TIWI	8351
577	tiy	TIRURAY	2431
578	tli	TLINGIT	6102
579	tlo	JOMANG	4142
580	tma	TAMA	4210
581	tml	ASMAT	8601
582	tna	TACANA	6812
583	tnl	LENAKEL	2426
584	top	TOTONAC	6713
585	tpm	TAMPULMA	4112
586	tpx	TLAPANEC	6772
587	tpy	TRUMAI	6865
588	tqo	TAORIPI	8623
589	tqw	TONKAWA	6752
590	trg	NEO-ARAMAIC	4355
591	tsi	TSIMSHIAN	6774
592	tsu	TSOU	2418
593	tsz	TARASCAN	6847
594	ttr	TERA	4375
595	tun	TUNICA	6758
596	tur	TURKISH	2158
597	twf	PICURIS	6740
598	tyv	TUVA	2165
599	tzh	TZELTAL	6712
600	ung	NGARINJIN	8374
601	unr	MUNDARI	2300
602	uzn	UZBEK	2175
603	vam	VANIMO	8640
604	vie	VIETNAMESE	2303
605	vmb	MBABARAM	8373
606	wao	WAPPO	6760
607	wap	WAPISHANA	6822
608	wba	WARAO	6852
609	wgi	WAHGI	8628
610	wic	WICHITA	6755
611	wim	WIK-MUNKAN	8358
612	wiy	WIYOT	6753
613	wnc	WANTOAT	8615
614	wnu	USAN	8630
615	wnw	WINTU	6709
616	woi	WOISIKA	8633
617	wol	WOLOF	4107
618	wrk	GARAWA	8345
619	wrs	WARIS	8637
620	wrz	WARAY	8348
621	wti	BERTA	4218
622	wuu	CHANGZHOU	2503
623	wyb	NGIYAMBAA	8372
624	xaw	KAWAIISU	6763
625	xom	KOMA	4220
626	xpe	KPELLE	4103
627	xtc	KADUGLI	4102
628	yad	YAGUA	6839
629	yaq	YAQUI	6739
630	ycn	YUCUNA	6843
631	yer	TAROK	4121
632	ygr	YAGARIA	8609
633	yii	YIDINY	8370
634	ykg	YUKAGHIR	2172
635	ynn	YANA	6745
636	yor	YORUBA	4137
637	yrb	YAREBA	8621
638	yrk	NENETS	2156
639	yss	YESSAN-MAYO	8632
640	yua	YUCATEC	6777
641	yuc	YUCHI	6757
642	yue	TAISHAN	2501
643	yul	YULU	4216
644	yva	YAWA	8629
645	zne	AZANDE	4130
646	zoc	ZOQUE	6711
647	zul	ZULU	4126
648	zun	ZUNI	6748
