InventoryID	Filename
277	http://web.phonetik.uni-frankfurt.de/L/L2416.html
278	http://web.phonetik.uni-frankfurt.de/L/L6106.html
279	http://web.phonetik.uni-frankfurt.de/L/L6786.html
280	http://web.phonetik.uni-frankfurt.de/L/L6781.html
281	http://web.phonetik.uni-frankfurt.de/L/L2160.html
282	http://web.phonetik.uni-frankfurt.de/L/L2411.html
283	http://web.phonetik.uni-frankfurt.de/L/L6773.html
284	http://web.phonetik.uni-frankfurt.de/L/L8611.html
285	http://web.phonetik.uni-frankfurt.de/L/L2708.html
286	http://web.phonetik.uni-frankfurt.de/L/L2500.html
287	http://web.phonetik.uni-frankfurt.de/L/L2432.html
288	http://web.phonetik.uni-frankfurt.de/L/L6825.html
289	http://web.phonetik.uni-frankfurt.de/L/L6836.html
290	http://web.phonetik.uni-frankfurt.de/L/L4145.html
291	http://web.phonetik.uni-frankfurt.de/L/L2519.html
292	http://web.phonetik.uni-frankfurt.de/L/L6823.html
293	http://web.phonetik.uni-frankfurt.de/L/L2513.html
294	http://web.phonetik.uni-frankfurt.de/L/L6729.html
295	http://web.phonetik.uni-frankfurt.de/L/L6846.html
296	http://web.phonetik.uni-frankfurt.de/L/L6840.html
297	http://web.phonetik.uni-frankfurt.de/L/L4374.html
298	http://web.phonetik.uni-frankfurt.de/L/L4106.html
299	http://web.phonetik.uni-frankfurt.de/L/L4110.html
300	http://web.phonetik.uni-frankfurt.de/L/L4225.html
301	http://web.phonetik.uni-frankfurt.de/L/L4372.html
302	http://web.phonetik.uni-frankfurt.de/L/L2508.html
303	http://web.phonetik.uni-frankfurt.de/L/L8371.html
304	http://web.phonetik.uni-frankfurt.de/L/L2004.html
305	http://web.phonetik.uni-frankfurt.de/L/L8367.html
306	http://web.phonetik.uni-frankfurt.de/L/L6743.html
307	http://web.phonetik.uni-frankfurt.de/L/L4226.html
308	http://web.phonetik.uni-frankfurt.de/L/L8613.html
309	http://web.phonetik.uni-frankfurt.de/L/L2404.html
310	http://web.phonetik.uni-frankfurt.de/L/L4128.html
311	http://web.phonetik.uni-frankfurt.de/L/L2417.html
312	http://web.phonetik.uni-frankfurt.de/L/L2176.html
313	http://web.phonetik.uni-frankfurt.de/L/L4170.html
314	http://web.phonetik.uni-frankfurt.de/L/L8375.html
315	http://web.phonetik.uni-frankfurt.de/L/L4108.html
316	http://web.phonetik.uni-frankfurt.de/L/L4119.html
317	http://web.phonetik.uni-frankfurt.de/L/L8650.html
318	http://web.phonetik.uni-frankfurt.de/L/L2000.html
319	http://web.phonetik.uni-frankfurt.de/L/L6902.html
320	http://web.phonetik.uni-frankfurt.de/L/L4125.html
321	http://web.phonetik.uni-frankfurt.de/L/L2714.html
322	http://web.phonetik.uni-frankfurt.de/L/L2167.html
323	http://web.phonetik.uni-frankfurt.de/L/L4114.html
324	http://web.phonetik.uni-frankfurt.de/L/L4141.html
325	http://web.phonetik.uni-frankfurt.de/L/L6109.html
326	http://web.phonetik.uni-frankfurt.de/L/L8617.html
327	http://web.phonetik.uni-frankfurt.de/L/L4206.html
328	http://web.phonetik.uni-frankfurt.de/L/L2439.html
329	http://web.phonetik.uni-frankfurt.de/L/L2153.html
330	http://web.phonetik.uni-frankfurt.de/L/L4148.html
331	http://web.phonetik.uni-frankfurt.de/L/L2010.html
332	http://web.phonetik.uni-frankfurt.de/L/L6870.html
333	http://web.phonetik.uni-frankfurt.de/L/L4203.html
334	http://web.phonetik.uni-frankfurt.de/L/L2405.html
335	http://web.phonetik.uni-frankfurt.de/L/L4117.html
336	http://web.phonetik.uni-frankfurt.de/L/L8608.html
337	http://web.phonetik.uni-frankfurt.de/L/L8345.html
338	http://web.phonetik.uni-frankfurt.de/L/L4129.html
339	http://web.phonetik.uni-frankfurt.de/L/L4140.html
340	http://web.phonetik.uni-frankfurt.de/L/L2436.html
341	http://web.phonetik.uni-frankfurt.de/L/L2168.html
342	http://web.phonetik.uni-frankfurt.de/L/L2001.html
343	http://web.phonetik.uni-frankfurt.de/L/L4362.html
344	http://web.phonetik.uni-frankfurt.de/L/L6826.html
345	http://web.phonetik.uni-frankfurt.de/L/L6828.html
346	http://web.phonetik.uni-frankfurt.de/L/L6830.html
347	http://web.phonetik.uni-frankfurt.de/L/L6862.html
348	http://web.phonetik.uni-frankfurt.de/L/L6866.html
349	http://web.phonetik.uni-frankfurt.de/L/L8364.html
350	http://web.phonetik.uni-frankfurt.de/L/L2502.html
351	http://web.phonetik.uni-frankfurt.de/L/L4366.html
352	http://web.phonetik.uni-frankfurt.de/L/L2424.html
353	http://web.phonetik.uni-frankfurt.de/L/L6100.html
354	http://web.phonetik.uni-frankfurt.de/L/L2016.html
355	http://web.phonetik.uni-frankfurt.de/L/L6842.html
356	http://web.phonetik.uni-frankfurt.de/L/L6738.html
357	http://web.phonetik.uni-frankfurt.de/L/L4900.html
358	http://web.phonetik.uni-frankfurt.de/L/L2154.html
359	http://web.phonetik.uni-frankfurt.de/L/L6105.html
360	http://web.phonetik.uni-frankfurt.de/L/L6776.html
361	http://web.phonetik.uni-frankfurt.de/L/L6716.html
362	http://web.phonetik.uni-frankfurt.de/L/L2022.html
363	http://web.phonetik.uni-frankfurt.de/L/L2422.html
364	http://web.phonetik.uni-frankfurt.de/L/L2435.html
365	http://web.phonetik.uni-frankfurt.de/L/L4116.html
366	http://web.phonetik.uni-frankfurt.de/L/L6827.html
367	http://web.phonetik.uni-frankfurt.de/L/L4150.html
368	http://web.phonetik.uni-frankfurt.de/L/L4208.html
369	http://web.phonetik.uni-frankfurt.de/L/L2440.html
370	http://web.phonetik.uni-frankfurt.de/L/L4360.html
371	http://web.phonetik.uni-frankfurt.de/L/L6845.html
372	http://web.phonetik.uni-frankfurt.de/L/L4147.html
373	http://web.phonetik.uni-frankfurt.de/L/L2710.html
374	http://web.phonetik.uni-frankfurt.de/L/L6800.html
375	http://web.phonetik.uni-frankfurt.de/L/L2517.html
376	http://web.phonetik.uni-frankfurt.de/L/L2428.html
377	http://web.phonetik.uni-frankfurt.de/L/L8605.html
378	http://web.phonetik.uni-frankfurt.de/L/L6780.html
379	http://web.phonetik.uni-frankfurt.de/L/L8347.html
380	http://web.phonetik.uni-frankfurt.de/L/L2409.html
381	http://web.phonetik.uni-frankfurt.de/L/L6844.html
382	http://web.phonetik.uni-frankfurt.de/L/L6747.html
383	http://web.phonetik.uni-frankfurt.de/L/L6835.html
384	http://web.phonetik.uni-frankfurt.de/L/L2171.html
385	http://web.phonetik.uni-frankfurt.de/L/L6820.html
386	http://web.phonetik.uni-frankfurt.de/L/L6848.html
387	http://web.phonetik.uni-frankfurt.de/L/L2511.html
388	http://web.phonetik.uni-frankfurt.de/L/L6901.html
389	http://web.phonetik.uni-frankfurt.de/L/L2018.html
390	http://web.phonetik.uni-frankfurt.de/L/L2600.html
391	http://web.phonetik.uni-frankfurt.de/L/L2601.html
392	http://web.phonetik.uni-frankfurt.de/L/L6863.html
393	http://web.phonetik.uni-frankfurt.de/L/L8622.html
394	http://web.phonetik.uni-frankfurt.de/L/L4364.html
